formula,formation energy
LiGaSe2,-0.911
Zn2NCl,-0.713
CaP2Xe5F22,-2.027
KCrPO4F,-2.768
CdAg2GeS4,-0.677
Li7H5N4,-0.648
SrP11H28N9,-0.475
In2Si2Pb2O9,-2.411
KTiPO5,-3.061
BaAlH5,-0.434
LiPPbO4,-2.511
NaGaO2,-2.232
KDy(SeO4)2,-2.024
RbGeSbO5,-2.096
K4VP2S9,-1.271
SO3,-1.755
NaNd4I7N2,-1.531
NaNdSiO4,-3.301
BeSiN2,-1.413
CsGeB3O7,-2.657
LiGaO2,-2.387
ZnH3CNO3,-1.324
RbSbS(O2F)2,-2.376
LiInS2,-1.265
AsF3,-2.499
LiAlS2,-1.612
TiTlPO5,-2.797
CsSi2SbO7,-2.742
K5In3(SiO3)7,-2.823
TlVTeO5,-1.831
ZnAgPS4,-0.739
Sr4Al6CrO16,-3.261
LiAlSe2,-1.089
BePH4NO4,-1.916
RbPH3O4F,-2.192
Na2H4(SO4)3,-1.922
KGeSbO5,-2.108
Na2UP2O9,-2.968
NaLaSiO4,-3.333
K3Al2(AsO4)3,-2.357
GdBe2B5O11,-3.095
BeGeN2,-0.816
BeH8(NF2)2,-1.66
KTiAsO5,-2.576
RbOs2O9,-1.498
Li3As7(H3N)13,-0.529
RbMgPO4,-2.914
Mn2PClO4,-2.411
H3NO4,-1.168
Rb4Al2S5,-1.572
UTe5,-0.357
RbGeB3O7,-2.652
Gd3OsO7,-3.157
KGaPO4F,-2.732
Ag8GeS6,-0.39
KTaGeO5,-2.747
TlSbAu,-0.097
MgGeN2,-0.772
RbSnAsO5,-2.036
CsTa(CuTe2)2,-0.474
Al(BH4)3,-0.196
Nd2H6Se7O20,-1.685
TePb3Cl4O3,-1.583
HgAs2Xe5F22,-1.585
NaSrAlF6,-3.85
Na2Ge2Se5,-0.609
RbAlSiO4,-3.194
K3Ga2(PO4)3,-2.642
ZnSiN2,-0.975
Li3AsS3,-1.212
Yb2Cu2O5,-2.244
Na3YH6(CO4)3,-2.032
Li3AlGeO5,-2.641
RbScAsO4F,-2.848
Sr3Sb4S9,-1.351
AsClOF8,-1.851
Re3Te4Cl5,-0.705
NaY(SeO3)2,-2.195
Ta4Se9I8,-0.537
ZnSiPbO4,-2.39
LiGaS2,-1.358
RbTiAsO5,-2.569
Li3GaSiO5,-2.696
AlPI8,-0.341
InGa2Cl7,-1.507
PH8N2O3F,-1.429
H8S(NO2)2,-1.221
Rb4Te8O23,-1.649
IN4,-0.206
CsAlSiO4,-3.197
KSnPO5,-2.518
Sr2CrO4,-2.787
InTeI7,-0.29
Sr4Mn2Bi4O13,-2.303
KNaGeO3,-2.128
CsBeAsO4,-2.304
Sb2XeClF11,-2.237
NbTl(BO3)2,-2.696
KNaNbOF5,-3.287
K2SeO4,-1.817
K4Nb6O17,-2.936
KBePO4,-2.901
RbGeBr3,-1.098
Gd3RuO7,-3.144
Ba2CrO4,-2.742
BeCN2,-0.578
PCl3O,-1.576
BaNaAlF6,-3.852
YBe2B5O11,-3.102
Cd3BPO7,-2.201
K3Al2(PO4)3,-2.95
KSiSbO5,-2.55
K2PHO4,-2.423
RbMoIO6,-1.684
InSb(P2O7)2,-2.467
Ag2H4(SO4)3,-1.584
NaPr4I7N2,-1.527
KSmH4(N2O7)2,-1.518
CsTiAsO5,-2.553
CdP2Xe5F22,-1.845
KNaSnF6,-3.046
NaLa4I7N2,-1.649
NdOsO4,-2.478
Ag8SnS6,-0.388
Ba2Ge2Te5,-0.854
NbSbO4,-2.533
MgSiN2,-1.367
ZnGeN2,-0.386
CsNb(CuTe2)2,-0.494
La2Ti2O7,-3.794
Cs2ZnI4,-1.183
Li3AlSiO5,-2.983
NpIO5,-2.127
NaCe4I7N2,-1.491
S2I2O11,-1.337
KSnAsO5,-2.042
KLiCrO4,-2.104
NaAlO2,-2.944
La2Mn(SeO)2,-2.606
TlSnPS4,-0.776
VCdBiO5,-1.99
Sb2AsAuXeF14,-2.306
LiP(HO2)2,-2.242
Li3GaGeO5,-2.36
Rb2ZnCl4,-2.005
Na5Mn3F14,-2.938
Si(Ag4S3)2,-0.462
LiB6O9F,-2.876
NaCaPO4,-3.047
K2TiOF4,-3.436
Na4Sc2Si4O13,-3.168
SbO2,-1.848
KNaZrSi3H4O11,-2.696
CaB3HO6,-2.848
PWO5,-2.46
CsNaSi2O5,-2.919
KV2PO8,-2.503
Rb3Y2(BO3)3,-3.031
K2CoCl4,-1.745
Li3SbS3,-1.241
K5NaP3(HO4)3,-2.42
PrSiP3,-0.684
RbTiPO5,-3.048
Ga2Sn2S5,-0.956
PrBS3,-1.651
KEr2F7,-4.25
SbP2O7,-2.398
Ca2Nb2O7,-3.308
Li2CoSiO4,-2.552
KNb(BO3)2,-2.896
AlHg2SbCl4,-1.255
LiCdPO4,-2.454
PBr3O,-0.938
OsOF5,-2.024
Na4Mn3P4O15,-2.6
BaYbCo4O7,-1.96
GaHg2SbCl4,-1.05
NbPO5,-2.94
Sr3Pr2(BO3)4,-3.351
CdP2,-0.126
ZnCl2,-1.543
NdBS3,-1.644
K2ZnCl4,-1.987
Sr2Nb2O7,-3.31
LiInSe2,-0.869
U2Tl2Mo3O16,-2.499
LiPH2O3,-2.012
W5I16,-0.148
Rb2CoCl4,-1.756
Li2MnSnS4,-1.175
Ba2TiO4,-3.407
NaCdPO4,-2.408
Bi2W2O9,-2.024
K3AsS4,-1.201
NaBe(BO2)3,-2.852
CsZnPO4,-2.517
InAgS2,-0.755
SbSBr,-0.662
Na2MgSiO4,-2.816
Na4Mg3P4O15,-2.846
Na2Si2O5,-2.912
SbSI,-0.531
SiO2,-3.275
Sr3Nd2(BO3)4,-3.356
Ga(BiBr)4,-0.486
Ca(GaO2)2,-2.646
Nb6I11,-0.462
LiAs(HO2)2,-1.765
Rb2U2Mo3O16,-2.682
Sr3La2(BO3)4,-3.382
PbCN2,-0.072
BaLuCo4O7,-2.182
